,Time_Zone ,Date,Tweets_tag
10, Central Africa Standard Time	,2021-05-05,"		Angie's story which was published by @brittlepaper, reimagines new realities for women: a world women are free and safe from violence. Read the story here  https://t.co/BVQ2kEE07d  #PreventVAW #FeministAgenda #WomenSafetyAndWellBeing	en	[{'screen_name': 'brittlepaper', 'name': 'brittle paper', 'id': '165590642'}]	['https://brittlepaper.com/2021/02/a-family-meeting/']	[]	0	2	1	['preventvaw', 'feministagenda', 'womensafetyandwellbeing']	[]	https://twitter.com/GBVnet/status/1389906391918338049	False	0	0								[]"
11, Central Africa Standard Time	,2021-05-05,"		""Join us tomorrow, 6th May 2021 at 4pm EAT/5pm SAST for an Instagram Live Chat with Angie Emurwon via @preventgbvnet &amp; Nokukhanya Ntsaluba via @pretty_x_bookish on Instagram. Angie will be discussing her short story titled """"A Family Meeting"""".  ðŸ—“ 6th May, 2021 â�° 4pm EAT/5pm SAST  https://t.co/8x1KBJsr0i""	en	[]	[]	['https://pbs.twimg.com/media/E0nwXxeXIAMWeEL.png']	1	8	10	[]	[]	https://twitter.com/GBVnet/status/1389906389200510981	False	0	1	https://pbs.twimg.com/media/E0nwXxeXIAMWeEL.png							[]"
12, Central Africa Standard Time	,2021-05-05,"		Angie's story which was published by  @brittlepaper, reimagines new realities for women: a world women are free and safe from violence. Read the story here  https://t.co/BVQ2kEE07d  #PreventVAW #FeministAgenda #WomenSafetyAndWellBeing	en	[{'screen_name': 'brittlepaper', 'name': 'brittle paper', 'id': '165590642'}]	['https://brittlepaper.com/2021/02/a-family-meeting/']	[]	0	0	1	['preventvaw', 'feministagenda', 'womensafetyandwellbeing']	[]	https://twitter.com/GBVnet/status/1389904601604833281	False	0	0								[]"
13, Central Africa Standard Time	,2021-05-04,"		VAW is an injustice and violation of the rights of womenâ€“ it affects us all â€“ until we are all safe, no one is safe.  https://t.co/3glj6xTHU7	en	[]	[]	['https://pbs.twimg.com/media/E0iXB5JWYAAX4sz.jpg']	3	59	122	[]	[]	https://twitter.com/GBVnet/status/1389526546017304577	False	0	1	https://pbs.twimg.com/media/E0iXB5JWYAAX4sz.jpg							[]"
14, Central Africa Standard Time	,2021-05-04,"		RT @COFEM_EVAW: Feminist leadership can be practiced by everyone! It isnâ€™t only about taking charge; itâ€™s about how you mentor the people wâ€¦	en	[{'screen_name': 'cofem_evaw', 'name': 'we are cofem', 'id': '819024116267307008'}]	[]	[]	0	19	0	[]	[]	https://twitter.com/GBVnet/status/1389523460628652033	True	0	0					819024116267307008	""Feminist leadership can be practiced by everyone! It isnâ€™t only about taking charge; itâ€™s about how you mentor the people within your space, how you organize, and how you use your own power and privilege as you lead."
15, Central Africa Standard Time	,2021-04-30,"		Prevention and Response are inseparable, both are required. Every community needs a prevention â€“ to - response continuum. What are some ways in which you're responding to and preventing violence in your communities? #PreventVAW #FeministAgenda  https://t.co/2iU3Qkdf6D	en	[]	[]	['https://pbs.twimg.com/media/E0MsoPFWUAImOLa.jpg']	2	22	58	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1388002181652090880	False	0	1	https://pbs.twimg.com/media/E0MsoPFWUAImOLa.jpg							[]"
16, Central Africa Standard Time	,2021-04-29,"		To prevent VAW we need to uproot  patriarchy from the roots. Prevention requires a change in norms. It requires changing thoughts and beliefs and actions #PreventVAW #FeministAgenda  https://t.co/Xo2lfc6OO2	en	[]	[]	['https://pbs.twimg.com/media/E0Hi0AdWUAEKzl2.jpg']	2	62	124	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387639545324244994	False	0	1	https://pbs.twimg.com/media/E0Hi0AdWUAEKzl2.jpg							[]"
17, Central Africa Standard Time	,2021-04-28,"		Social norms donâ€™t change overnight. It requires change across all levels. We can all prevent violence â€“ as individuals, in our relationships, our community and our society. What will you do today?  #PreventVAW #FeministAgenda  https://t.co/HBT8hV8MxO	en	[]	[]	['https://pbs.twimg.com/media/E0EUcG0XsAI8hgE.jpg']	0	26	50	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387413015327219717	False	0	1	https://pbs.twimg.com/media/E0EUcG0XsAI8hgE.jpg							[]"
18, Central Africa Standard Time	,2021-04-28,"		RT @KobugabeLucky: I canâ€™t express how honored I was to host or in my own words, â€œmediate ðŸ˜‚â€� this amazinggg conversation! My Lorde, the weaâ€¦	en	[{'screen_name': 'kobugabelucky', 'name': 'melancholia', 'id': '1163700575814520832'}]	[]	[]	0	5	0	[]	[]	https://twitter.com/GBVnet/status/1387401830162907142	True	https://twitter.com/GBVnet/status/1387030665263206405	0					1163700575814520832	I canâ€™t express how honored I was to host or in my own words, â€œmediate ðŸ˜‚â€� this amazinggg conversation! My Lorde, the wealth of knowledge that @Lusukalanga &amp; @Wwangechi_leah shared is inspiring. â�¤ï¸�ðŸ’•	1387055229070360576	[]	2021-04-27 15:45:11 W. Central Africa Standard Time"
19, Central Africa Standard Time	,2021-04-28,"		RT @tech2endgbv: #EndVAW #StopGBV  https://t.co/KtU3BX0l8G	und	[{'screen_name': 'tech2endgbv', 'name': '#tech2endgbv', 'id': '1063083802300465152'}]	[]	[]	0	3	0	['endvaw', 'stopgbv']	[]	https://twitter.com/GBVnet/status/1387401604693905415	True	https://twitter.com/GBVnet/status/1386953296414494725	0					1063083802300465152	#EndVAW #StopGBV	1387325969225162754	[]	2021-04-28 09:41:00 W. Central Africa Standard Time"
20, Central Africa Standard Time	,2021-04-28,"		RT @GBVnet: The lives of all women are affected by the threat of violence every single moment. Women deserve better! #PreventVAW #FeministAâ€¦	en	[{'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}]	[]	[]	0	30	0	['preventvaw']	[]	https://twitter.com/GBVnet/status/1387401484401270789	True	0	0					1577680016	The lives of all women are affected by the threat of violence every single moment. Women deserve better! #PreventVAW #FeministAgenda https://t.co/SIXUkLSSFw	1385205249028337666	[]	2021-04-22 13:14:01 W. Central Africa Standard Time"
21, Central Africa Standard Time	,2021-04-28,"		RT @Prevent_Collab: In today's webinar we will discuss the process &amp; challenges of integrating #VAW &amp; #VAC programmes.  Join us to hear @ICâ€¦	en	[{'screen_name': 'prevent_collab', 'name': 'prevention collaborative', 'id': '1123278585995808768'}]	[]	[]	0	5	0	['vaw', 'vac']	[]	https://twitter.com/GBVnet/status/1387401422057185285	True	0	0					1123278585995808768	""In today's webinar we will discuss the process &amp; challenges of integrating #VAW &amp; #VAC programmes."
22, Central Africa Standard Time	,2021-04-27,"		We have come to the end of our chat. Thanks to everyone for joining us. If you would like to learn more about the #SASA approach, please visit our website for more information and resources.  #PreventVAW #FeministAgenda  https://t.co/B6uhI5Cnlj	en	[]	['https://preventgbvafrica.org/']	[]	0	1	2	['sasa', 'preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387047388993376267	False	0	0								[]"
23, Central Africa Standard Time	,2021-04-27,"		Violence Prevention means we're stopping violence from the onset. It means a world where we have equal power between women and men. We need to experience generation equality in our time.  @Wwangechi_leah  #PreventVAW #FeministAgenda	en	[{'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}]	[]	[]	1	3	4	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387047028757176328	False	0	0								[]"
24, Central Africa Standard Time	,2021-04-27,"		RT @chepkurui_chep: Join the conversation with @GBVnet with two amazing women with vast experience in the VAW Prevention field.  https://t.câ€¦	en	[{'screen_name': 'chepkurui_chep', 'name': 'karen chep', 'id': '1487395158'}, {'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}]	[]	[]	0	2	0	[]	[]	https://twitter.com/GBVnet/status/1387043806604795914	True	https://twitter.com/GBVnet/status/1387030665263206405	0					1487395158	Join the conversation with @GBVnet with two amazing women with vast experience in the VAW Prevention field.	1387042182373076995	[]	2021-04-27 14:53:20 W. Central Africa Standard Time"
25, Central Africa Standard Time	,2021-04-27,"		Men should not expect to be awarded for contributing to violence prevention efforts. If they are going to support the work as allies, they need to do it under the leadership and guidance of African feminists and women doing violence prevention work. @Lusukalanga #PreventVAW	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	10	15	['preventvaw']	[]	https://twitter.com/GBVnet/status/1387040431406346243	False	0	0								[]"
26, Central Africa Standard Time	,2021-04-27,"		When we engage men and boys in violence prevention, it must be from a point that centers women. It must be from a place of accountability and responsibility whereby we're not absolving individual men but understanding how men systematically benefit from patriarchy @Lusukalanga	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	9	8	[]	[]	https://twitter.com/GBVnet/status/1387039951468982275	False	0	0								[]"
27, Central Africa Standard Time	,2021-04-27,"		As a society, we need to reach a point where violence is unacceptable while removing the stigma against victims/survivors of VAW. @Lusukalanga   #PreventVAW #FeministAgenda	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	7	4	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387039381731438601	False	0	0								[]"
28, Central Africa Standard Time	,2021-04-27,"		There's some important work engaging with regards to social norms e.g #SASA approach where we engage communities on the unequal power dynamics between women and men, and showing how it contributes to violence against women. @Lusukalanga   #PreventVAW #FeministAgenda	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	4	4	['sasa', 'preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387039379189755911	False	0	0								[]"
29, Central Africa Standard Time	,2021-04-27,"		The focus on VAW prevention over the years have been on structures i.e legal protection of women but we've seen some challenges with the actual implementation of these laws. @Lusukalanga   #PreventVAW #FeministAgenda	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	3	4	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387038648621682694	False	0	0								[]"
30, Central Africa Standard Time	,2021-04-27,"		@Wwangechi_leah One of the things that I've seen to be powerful is engaging men and boys. Evidence shows that the predominant perpetrators of VAW are men. Have community dialogues with men and boys on the need for why violence prevention is important. @Wwangechi_leah  #PreventVAW #FeministAgenda	en	[{'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}]	[]	[]	1	4	3	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387037609268895746	False	0	0								[{'screen_name': 'Wwangechi_leah', 'name': 'Wangechi Wachira', 'id': '1547835649'}]"
31, Central Africa Standard Time	,2021-04-27,"		African feminists have done a lot of weightlifting to push for legislation to protect the rights of women and girls. Organizations must recognize intersectionality in violence prevention. E.g disabled women are more vulnerable to experience violence. @Wwangechi_leah	en	[{'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}]	[]	[]	1	4	2	[]	[]	https://twitter.com/GBVnet/status/1387036889627041792	False	0	0								[]"
32, Central Africa Standard Time	,2021-04-27,"		Evidence continues to show us that the work of preventing and ending VAW has to be led by African women and feminists who know best how to engage the communities and centre women and girls in the work to prevent violence. @Lusukalanga #PreventVAW #FeministAgenda	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	6	4	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387034726049984512	False	0	0								[]"
33, Central Africa Standard Time	,2021-04-27,"		African feminists are also introducing intersectionality in violence prevention work such that other marginalized groups like lesbian, bisexual, and trans women are included in efforts to respond to and prevent violence. @Lusukalanga #PreventVAW #FeministAgenda	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	7	3	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387034317059145729	False	0	0								[]"
34, Central Africa Standard Time	,2021-04-27,"		Historically and in contemporary times, women's movements and African feminist women are on the forefront leading violence prevention and are making it known that it's possible to prevent violence against women on the continent. - @Lusukalanga #PreventVAW #FeministAgenda	en	[{'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	1	5	3	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387034314953662465	False	0	0								[]"
35, Central Africa Standard Time	,2021-04-27,"		African feminists are challenging gender norms that normalize violence, we are looking at power imbalances that perpetuates violence and we are engaging women, men, children and communities in violence prevention.  @Wwangechi_leah #PreventVAW #FeministAgenda	en	[{'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}]	[]	[]	1	7	6	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387033297486860289	False	0	0								[]"
36, Central Africa Standard Time	,2021-04-27,"		African Feminists have made significant strides for women to be able to live in safety on the continent. Violence prevention means figuring out how to target vulnerable groups such that they don't experience violence - @Wwangechi_leah #PreventVAW #FeministAgenda	en	[{'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}]	[]	[]	1	5	3	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387033295377080321	False	0	0								[]"
37, Central Africa Standard Time	,2021-04-27,		@KobugabeLucky is hosting the chat on behalf of the GBV Prevention 
38, Central Africa Standard Time	,2021-04-27,"		@Wwangechi_leah is ED of @CREAWKenya and is here to share what she's learned from her work in violence prevention #PreventVAW #FeministAgenda	en	[{'screen_name': 'creawkenya', 'name': 'creaw kenya', 'id': '522064682'}]	[]	[]	1	5	4	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387032095948742657	False	0	0								[]"
39, Central Africa Standard Time	,2021-04-27,"		@Lusukalanga is a Malawian feminist leading a violence response and prevention program. She's also the host of Feministing While Malawian podcast. #PreventVAW #FeministAgenda	en	[]	[]	[]	1	3	2	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1387032093927030784	False	0	0								[]"
40, Central Africa Standard Time	,2021-04-27,		Weâ€™re now live on Facebook. Join the conversation via our Facebook page     https://t.co/TrQ7WfmljU  #PreventVAW #FeministAgenda  https://t.co/w0DHptnupB	en	[]	['https://www.facebook.com/GBVPrev
41, Central Africa Standard Time	,2021-04-27,"		RT @GBVnet: âš ï¸�âš ï¸�âš ï¸�WEBINAR UPDATE:  The Preventing Violence Against Women: A Feminist Agenda webinar with @Wwangechi_leah and @Lusukalanga wâ€¦	en	[{'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}, {'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}, {'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}]	[]	[]	0	10	0	[]	[]	https://twitter.com/GBVnet/status/1387022163698503683	True	https://twitter.com/GBVnet/status/1385625143288999937	0					1577680016	""âš ï¸�âš ï¸�âš ï¸�WEBINAR UPDATE:"
42, Central Africa Standard Time	,2021-04-27,"		âš ï¸�âš ï¸�âš ï¸�WEBINAR UPDATE:  The Preventing Violence Against Women: A Feminist Agenda webinar with @Wwangechi_leah and @Lusukalanga will begin at 4:00pm EAT. If you pre-registered for the event, please join at 4:00pm EAT  using the webinar link that was emailed to you.  cc: @CREAWKenya	en	[{'screen_name': 'wwangechi_leah', 'name': 'wangechi wachira', 'id': '1547835649'}, {'screen_name': 'lusukalanga', 'name': 'angry feminist from falasi village', 'id': '1261832708'}, {'screen_name': 'creawkenya', 'name': 'creaw kenya', 'id': '522064682'}]	[]	[]	0	10	7	[]	[]	https://twitter.com/GBVnet/status/1387020035965734914	False	https://twitter.com/GBVnet/status/1385625143288999937	0								[]"
43, Central Africa Standard Time	,2021-04-27,"		""RT @MakeWomenCount: It is estimated that """"as many as 70% of women-owned SMEs in the formal sector in developing countries are unserved or uâ€¦""	en	[{'screen_name': 'makewomencount', 'name': 'makeeverywomancount', 'id': '316345697'}]	[]	[]	0	4	0	[]	[]	https://twitter.com/GBVnet/status/1387015540925943811	True	https://twitter.com/AU_WGDD/status/1387003654205489154	0					316345697	""It is estimated that """"as many as 70% of women-owned SMEs in the formal sector in developing countries are unserved or underserved by financial institutions, a financing gap of around $285 billion, if this gap is closed the economic benefits are enormous"""""
44, Central Africa Standard Time	,2021-04-27,"		RT @SWOP_Kenya: Sexual and reproductive health and rights are central to empowering women and adolescent girls, fulfilling their human righâ€¦	en	[{'screen_name': 'swop_kenya', 'name': 'swop-kenya', 'id': '753842571437158400'}]	[]	[]	0	13	0	[]	[]	https://twitter.com/GBVnet/status/1386999767901876228	True	0	0					753842571437158400	""Sexual and reproductive health and rights are central to empowering women and adolescent girls, fulfilling their human rights, ensuring their health and well-being, and creating gender-equal societies and economies."
45, Central Africa Standard Time	,2021-04-27,"		RT @CREAWKenya: Join us today for a live chat on African #feminist contributions to ending violence against women, &amp; co-creating a more jusâ€¦	en	[{'screen_name': 'creawkenya', 'name': 'creaw kenya', 'id': '522064682'}]	[]	[]	0	21	0	['feminist']	[]	https://twitter.com/GBVnet/status/1386999533759049735	True	0	0					522064682	""Join us today for a live chat on African #feminist contributions to ending violence against women, &amp; co-creating a more just world for all."
46, Central Africa Standard Time	,2021-04-27,"		#VAW has negative effects on women, children, men, families, and communities. It has devastating and life-threatening impact on women and significantly reduces our chances to self-actualize and be happy.  We must work together to #PreventVAW and create better realities for women.  https://t.co/1VHfFHvCCB	en	[]	[]	['https://pbs.twimg.com/media/Ez9yrEjXMAQTSWt.jpg']	0	21	35	['vaw', 'preventvaw']	[]	https://twitter.com/GBVnet/status/1386953296414494725	False	0	1	https://pbs.twimg.com/media/Ez9yrEjXMAQTSWt.jpg							[]"
47, Central Africa Standard Time	,2021-04-26,"		RT @adventurefrom: Happy Lesbian Visibility Day to all African lesbian women and non-binary lesbians ðŸ¥³. We see you. We honour you. We loveâ€¦	en	[{'screen_name': 'adventurefrom', 'name': 'adventures', 'id': '511994918'}]	[]	[]	0	24	0	[]	[]	https://twitter.com/GBVnet/status/1386779248837410821	True	0	0					511994918	""Happy Lesbian Visibility Day to all African lesbian women and non-binary lesbians ðŸ¥³."
48, Central Africa Standard Time	,2021-04-26,"		RT @Lna_Alcalde: This is such a powerful infographic. #PreventVAW #SDG5  https://t.co/MXcpBFTuaY	en	[{'screen_name': 'lna_alcalde', 'name': 'elena alcalde', 'id': '1011544608'}]	[]	[]	0	3	0	['preventvaw', 'sdg5']	[]	https://twitter.com/GBVnet/status/1386622301853073410	True	https://twitter.com/GBVnet/status/1384904993183084547	0					1011544608	This is such a powerful infographic. #PreventVAW #SDG5	1386594099189456896	[]	2021-04-26 09:12:49 W. Central Africa Standard Time"
49, Central Africa Standard Time	,2021-04-26,"		RT @YfcUganda: Don't further stigmatize survivors of D.V or blame them for the perpetrator's abuse but rather validate &amp; affirm their strenâ€¦	en	[{'screen_name': 'yfcuganda', 'name': 'yfc-uganda', 'id': '1101493586305171461'}]	[]	[]	0	11	0	[]	[]	https://twitter.com/GBVnet/status/1386622213378424836	True	0	0					1101493586305171461	Don't further stigmatize survivors of D.V or blame them for the perpetrator's abuse but rather validate &amp; affirm their strengths to make safety plans for themselves,  their children's wellbeing, and family functioning #StopViolence #StopVictimBlaming @SafeSpeak  @SafeandTogether https://t.co/9g7wvHzME0	1386619423201574913	[]	2021-04-26 10:53:27 W. Central Africa Standard Time"
50, Central Africa Standard Time	,2021-04-26,"		An estimated 35% of married or partnered women, ages 15-49, in Sub-Saharan Africa experience physical and/or sexual IPV. In DRC that rises to 47%, in UG 45%, in Zambia and South Sudan 40% and Burundi and Lesotho 40%. (WHO 2018) Enough is enough! #PreventVAW #FeministAgenda  https://t.co/eCkOHnvEZV	en	[]	[]	['https://pbs.twimg.com/media/EzrCS-KXIAUDwIx.jpg']	1	26	47	['preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1386538023962112004	False	0	1	https://pbs.twimg.com/media/EzrCS-KXIAUDwIx.jpg							[]"
51, Central Africa Standard Time	,2021-04-24,"		Across the different spheres; individual, interpersonal, community and society there are various risk factors that increase risk of #VAW #PreventVAW #FeministAgenda  https://t.co/jcH8kKWIyC	en	[]	[]	['https://pbs.twimg.com/media/EzrBa8JXsAEOpoi.jpg']	1	31	45	['vaw', 'preventvaw', 'feministagenda']	[]	https://twitter.com/GBVnet/status/1385866097438699522	False	0	1	https://pbs.twimg.com/media/EzrBa8JXsAEOpoi.jpg							[]"
52, Central Africa Standard Time	,2021-04-23,"		We're delighted to announce that we will be hosting a live webinar conversation with Wangechi Wachira and Lusungu Kalanga on Preventing Violence Against Women: A Feminist Agenda on Tuesday, April 27 at 4:00pm EAT/1:00pm GMT.   Register to attend here  https://t.co/eu1C2J0iE4  https://t.co/ooDYxGo82I	en	[]	['https://zoom.us/webinar/register/WN_wiYGJ-PvRoW0uc4MUL8cEA']	['https://pbs.twimg.com/media/Ezq6lh3XoAAN6r8.jpg']	0	11	17	[]	[]	https://twitter.com/GBVnet/status/1385625143288999937	False	0	1	https://pbs.twimg.com/media/Ezq6lh3XoAAN6r8.jpg							[]"
