,Unnamed: 0,Country,Title,Year,Form of Violence,Full_Text,Brief_Description,Source of Info,Full_Text_Language,Country_Official_Spoken_Language,Type_of_Measures_1,Type_of_Measures_2,Population(2020),Yearly_Change,Net_Change,Density(P/Km),Land Area(Km),Migrants(net),Fert_Rate,Med_Age,UrbanPop %,WorldShare,Region,Income group,Rank_2020,Lower or single House Elections_2020,Lower or single House Seats_2020,Lower or single House Women_2020,Lower or single House % of Women_2020,Upper chamber Elections_2020,Upper chamber Seats_2020,Upper chamber Women_2020,Upper chamber % of Women_2020
10,10,Uganda,National Strategy to End Child Marriage and Teenage Pregnancy,2015 - 2020,Child early and forced marriage,"Government has developed a National strategy to End Child Marriage and Teenage pregnancy (2014/2015 -2019/2020). The strategy aims at ending child marriage in Uganda for enduring prosperity and social economic transformation. It articulates the principles, strategic objectives, actions, coordination mechanisms, and resources that will ensure effective implementation of the actions/interventions to end child marriage. The key strategic focus areas are; improved policy and legal environment to protect children and promotion of the girl child’s rights; improved access to quality sexual and reproductive health services, education, child protection services and other opportunities; changing dominant thinking and social norms related to child marriage in the communities; empowerment of both girls and boys with correct information to enable them recognize child marriage and early pregnancy as a gross violation of their rights and take mitigating action; and coordination, monitoring and evaluation mechanisms for the implementation effective of the strategy.",,"The Republic of Uganda's submission for the 2016 Secretary General’s Report on the implementation of the General Assembly Resolutions on Intensification of efforts to eliminate all forms of violence against women and girls, on Trafficking in women and girls, and on Intensifying global efforts for the elimination of female genital mutilations. P.3
Please <a rel=""noopener noreferrer"" [https://www.unicef.org/uganda/NATIONAL_STRATEGY_ON_CHILD_MARRIAGE-PRINT_READY.pdf"" target=""_blank]click here for more information.",English,English,Policies ,  National strategy specific to violence against women,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
11,11,Uganda,Prohibition of Female Genital Mutilation Act 2010,2010,Child early and forced marriage,The Prohibition of Female Genital Mutilation Act 2010 was enacted in March 2010 and states that female genital mutilation and cutting (FGM/C) is an offense in which removal of part or all parts of the external female genital for non-medical reasons and the practice of FGM/C is prohibitted. It provides extraterritorial jurisdiction.,,"Response of the Government of Uganda to the Questionnaire on Violence against Women 2012, pg 7",English,English,Violence against women ,  Legislation,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
12,12,Uganda,Domestic Violence Act 2010,2010,Domestic violence Intimate partner violence,"The Domestic Violence Act 2010 gives various institutions the jurisdiction to handle domestic violence cases. The institutions range from local council courts, police, and magistrates to health workers. The local council courts were mandated to handle matters related to children. Economic abuse, physical violence, emotional abuse, and sexual violence are included in the act. The act also provides for protection orders for survivors of domestic violence to leave their respective homes.",,"Response of the Government of Uganda to the Questionnaire on Violence against Women 2012, pg 5",English,English,Violence against women ,  Legislation,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
13,13,Uganda,Domestic Violence Act,2009,Domestic violence Intimate partner violence,The Domestic Violence Act was passed in 2009.  It criminalizes the different forms of domestic violence and makes provisions for appropriate penalties and civil remedies.,,CEDAW/C/UGA/7 para. 168.,English,English,Violence against women ,  Legislation,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
14,14,Uganda,National Gender Policy,2007,Trafficking,"The National Gender Policy (2007) includes provisions on gender-based violence, suh as domestic violence, sexual harassment, trafficking in human beings, and sexual violence. 
 
The objectives of the Policy are as follows:
 
1) To reduce gender inequalities so that all women and men, girls and boys, are able to move out of poverty and to achieve improved and sustainable livelihoods;
 
2) To increase knowledge and understanding of human rights among women and men so that they can identify violations, demand, access, seek redress and enjoy their rights;
 
3) To strengthen women's presence and capacities in decision making for their meaningful participation in administrative and political processes;
 
4) To address gender inequalities and ensure inclusion of gender analysis in macro-economic policy formulation, implementation, monitoring and evaluation.",,Government of Uganda,English,English,Policies ,  Inclusion of violence against women in other national plan strategy,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
15,15,Uganda,Police Family Protection Units,1998,Domestic violence Intimate partner violence,The Child and Family Protection Unit established May 1998 was the result of increased reports of violence against children and women and the need for police to sensitively and professionally handle the violations.,,"Response of the Government of Uganda to the questionnaire on Beijing +15, 2009",English,English,Institutional mechanisms,,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
16,16,Uganda,Employment Sexual Harassment Regulation,2012,Sexual harassment,"The Employment Sexual Harassment Regulations ordered by the Government of Uganda states that an employer with more than twenty-five employees shall adopt a written policy against sexual harassment which includes a notice to employees that sexual harassment is unlawful, a statement of consequences for employees who are found to have committed sexual harassment, and education and training programs on sexual harassment for all employees on a regular basis.  The employer is to also create a sexual harassment committee in which the committee receives and registers complaints of sexual harassment.  Reported cases are investigated by the labour officer.",,"The Government of Uganda, National Review on Beijing +20, 2014, para. 92",English,English,Other relevant laws ,  Employment Labor law,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
17,17,Uganda,Data on Human Trafficking,2010 - 2014,Trafficking,"The country has registered high numbers of suspected victims since 2010, the highest having been registered last year 2013, i.e. 16 in 2010; 16 in 2011; 56 in 2012, 498 in 2013 and 129 for Jan –June 2014. The most common trend of the crime has involved movements of persons by means of deception from one place to another, within the country or in some of the foreign countries, with a hope a better life which has turned into nightmares for the victims.",,"The Republic of Uganda's submission for the 2016 Secretary General’s Report on the implementation of the General Assembly Resolutions on Intensification of efforts to eliminate all forms of violence against women and girls, on Trafficking in women and girls, and on Intensifying global efforts for the elimination of female genital mutilations. P.5",English,English,Administrative data ,  Police,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
18,18,Uganda,The Prevention of Trafficking in Persons Act,2009,Trafficking,"The Uganda Government acknowledges the existence of the crime of Trafficking in Persons (TiP) through enactment of the domestic law called the Prevention of Trafficking in Persons (PTIP) Act 2009. Section 21 of the PTIP Act 2009, provides for designation of an office to monitor, coordinate and oversee the implementation of counter human trafficking activities. This Office was set up at the Ministry of Internal Affairs Headquarters, under my direct supervision as Chairperson of the Inter-Ministerial/ Agency Task Force that was set up as a way of operationalizing the Office. The Government has identified four priority areas of management of the crime of Trafficking in Persons. These are: maintenance of an effective operational coordination system; Detection, investigation and prosecution of offenders; Protection and support of victims and; Prevention of further escalation of the crime. The partnership involves Government Agencies, International Agencies, Foreign Embassies and some local Civil Society Organizations. These partnerships have resulted into several milestones such as drafting a National Action Plan to combat TiP; development of the National Awareness Strategy on TiP prevention and Capacity building trainings of 350 stakeholder members in Investigation techniques; identification & management of TiP victims and skills to develop counter human trafficking strategies.",,"Response of the Government of Uganda to the Questionnaire on Violence against Women 2012, pg 7
The Republic of Uganda's submission for the 2016 Secretary General’s Report on the implementation of the General Assembly Resolutions on Intensification of efforts to eliminate all forms of violence against women and girls, on Trafficking in women and girls, and on Intensifying global efforts for the elimination of female genital mutilations. P.5
Please <a rel=""noopener noreferrer"" [http://www.warnathgroup.com/wp-content/uploads/2015/03/Uganda-TIP-Law-2009.pdf"" target=""_blank]click here for more information.",English,English,Violence against women ,  Legislation,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
19,19,Uganda,National Action Plan on UN Security Council Resolutions 1325 and 1820,2008,Violence against women and girls,"The Action Plan is focusing on:


    The mandate of the different instruments
    Actions to address the existing gaps and challenges in accessing justice for victims of GBV
    Possible Actions for Implementation
    Monitoring, Systems of Collecting Information and Reporting Mechanisms
    Agency or Department or individual responsible for implementation.",National Action Plan on UN Security Council Resolutions 1325 and 1820 ,"Ministry of Gender, Labour and Social Development",,English,Policies ,"  Inclusion of violence against women in other national plan strategy, Monitoring and Evaluation ,  Policies","45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
20,20,Uganda,National Gender Policy,2007,Trafficking,"The National Gender Policy (2007) includes provisions on gender-based violence, suh as domestic violence, sexual harassment, trafficking in human beings, and sexual violence. 
 
The objectives of the Policy are as follows:
 
1) To reduce gender inequalities so that all women and men, girls and boys, are able to move out of poverty and to achieve improved and sustainable livelihoods;
 
2) To increase knowledge and understanding of human rights among women and men so that they can identify violations, demand, access, seek redress and enjoy their rights;
 
3) To strengthen women's presence and capacities in decision making for their meaningful participation in administrative and political processes;
 
4) To address gender inequalities and ensure inclusion of gender analysis in macro-economic policy formulation, implementation, monitoring and evaluation.",,Government of Uganda,,English,Policies ,  Inclusion of violence against women in other national plan strategy,"45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
21,21,Uganda,National Action Plan on UN Security Council Resolutions 1325 and 1820,2008,Violence against women and girls,"The Action Plan is focusing on:


    The mandate of the different instruments
    Actions to address the existing gaps and challenges in accessing justice for victims of GBV
    Possible Actions for Implementation
    Monitoring, Systems of Collecting Information and Reporting Mechanisms
    Agency or Department or individual responsible for implementation.",National Action Plan on UN Security Council Resolutions 1325 and 1820 ,"Ministry of Gender, Labour and Social Development",English,English,Policies ,"  Inclusion of violence against women in other national plan strategy, Monitoring and Evaluation ,  Policies","45,741,007",3.32%,"1,471,413",229,"199,810","168,694",5.0,17,26%,0.59%,Sub-Saharan Africa,Low income,37.0,2.2016,459,160,34.9,-,-,-,-
22,22,Malawi,"The Marriage, Divorce, and Family Relations Bill (Marriage Age)",2015,Child early and forced marriage,"The Marriage, Divorce and Family Relations law will address the issues of child marriages in Malawi, as it raises the age of marriage to 18 years old.  Further, the law will protect women, young, old and the girl child, against any form of abuse or violence-emotional, physical or otherwise-that are related to marriage, sexual relations and family. It will also hold those parents, who marry their children off below the age of 18, accountable to the law and ensure their prosecution.",,"The Government of Malawi 2015
For more information[http://www.mw.one.un.org/malawi-passes-the-marriage-divorce-and-family-relations-bill-2015/] please click here. ",English,English,Violence against women ,  Legislation,"19,129,952",2.69%,"501,205",203,"94,280","-16,053",4.3,18,18%,0.25%,Sub-Saharan Africa,Low income,88.0,5.2019,192,44,22.9,-,-,-,-
23,23,Malawi,Demographic and Health Survey 2015-2016,2015 - 2016,Domestic violence Intimate partner violence,"The 2015-16 Malawi Demographic and Health Survey (MDHS) report is very similar in content to the 2010 MDHS but is presented in a new format. The new style features more figures to highlight trends, subnational patterns, and background characteristics. The text has been simplified to highlight key points in bullets and to clearly identify indicator definitions in boxes. The 2015-16 MDHS included the domestic violence module in one-third of the sampled households. A similar module was also included in the 2004 and 2010 MDHS surveys. In accordance with the World Health Organization’s guidelines on the ethical collection of information on domestic violence, only one eligible woman per household was randomly selected for the module, and the module was not implemented if privacy could not be assured. In total, 6,379 women received the domestic violence questions. About 4% of women eligible for the domestic violence module could not be successfully interviewed because of privacy or other reasons. Specially constructed weights were used to adjust for the selection of only one woman per household and to ensure that the domestic violence subsample was nationally representative.",Demographic and Health Survey 2015-2016,"National Statistical Office (NSO) [Malawi] and ICF. 2017. Malawi Demographic and Health Survey 2015-16. Zomba, Malawi, and Rockville, Maryland, USA. NSO and ICF.",English,English,Research and statistical data ,  Violence against women module in survey,"19,129,952",2.69%,"501,205",203,"94,280","-16,053",4.3,18,18%,0.25%,Sub-Saharan Africa,Low income,88.0,5.2019,192,44,22.9,-,-,-,-
24,24,Malawi,Sexual and Reproductive Health Rights Policy,2009,Other harmful practices,"The Sexual and Reproductive Rights Policy provides the framework for implementation of sexual and reproductive health programs in the country. The policy has been divided into five sections as follows: introduction, broad policy directions, policy themes, implementation arrangements, and monitoring and evaluation. The Sexual and Reproductive Health Rights Policy includes domestic violence and harmful practices in its areas of focus.",,"The Government of Malawi, National Review on the Beijing +20 2014, para. 128
 
For more information [file:///C:/Users/valencia.lyle/Downloads/SRHR%20POLICY%20FINAL%20(1).pdf]please click here. ",English,English,Policies ,  Inclusion of violence against women in other national plan strategy,"19,129,952",2.69%,"501,205",203,"94,280","-16,053",4.3,18,18%,0.25%,Sub-Saharan Africa,Low income,88.0,5.2019,192,44,22.9,-,-,-,-
25,25,Malawi,The Prevention of Domestic Violence Act,2006,Domestic violence Intimate partner violence,The Prevention of Domestic Violence Act provides a civil framework for addressing various acts of violence amongst people within a domestic relationship.,,"The Government of Malawi, National Review on the Beijing +20 2014, para. 128
 
For more information [http://www1.chr.up.ac.za/undp/domestic/docs/legislation_13.pdf]please click here. ",English,English,Violence against women ,  Legislation,"19,129,952",2.69%,"501,205",203,"94,280","-16,053",4.3,18,18%,0.25%,Sub-Saharan Africa,Low income,88.0,5.2019,192,44,22.9,-,-,-,-
26,26,Somalia,Conference on Female Genital Mutilation or Cutting,2014,Child early and forced marriage,"International Horn University, Somaliland hosted a conference on female genital mutilation/cutting (FGM/C) with participation from the UN, Ministry of Labour and the First Lady of Somaliland to discuss the role religion and the Government could play in ending FGM/C.",,"Federal Government of Somalia, National Review on Beijing+20, page 26 Section 3.4
For more information [http://www.girlsummit2014.org/content/docs/GirlSummitFinalWeb.pdf]please click here. ",English,Arabic,Prevention ,  Awareness-raising Campaigns,"15,893,222",2.92%,"450,317",25,"627,340","-40,000",6.1,17,47%,0.20%,Sub-Saharan Africa,Low income,79.0,10.2016,275,67,24.4,10.2016,54,13,24.1
27,27,Somalia,"Summary Preliminary Results Multiple Indicator Cluster Survey 2011, Somaliland (Early Marriage, Female Genital Mutilation/ Cutting, and Domestic Violence)",2011,Female genital mutilation,"A cluster survey was administered in Somaliland in 2011 in which data was collected on women, ages 15 to 45, about their beliefs regarding husbands' justifications for beating their partners in various circumstances.  The survey also collected data on the percentage of women, ages 20 to 49, who were first married before the age 18, along with women, ages 15 to 49 years, who have undergone some form of female genital mutilation/cutting.",,"Federal Government of Somalia, National Review on Beijing+20, page 58 Section 5 Annexures 2.6.4
For more information [http://www.unicef.org/somalia/SOM_resources_somalilandmics4sum.pdf]please click here. ",English,Arabic,Research and statistical data ,  Violence against women module in survey,"15,893,222",2.92%,"450,317",25,"627,340","-40,000",6.1,17,47%,0.20%,Sub-Saharan Africa,Low income,79.0,10.2016,275,67,24.4,10.2016,54,13,24.1
28,28,Somalia,Disarmament Celebration in Berbera (Community Leaders Renounce Female Genital Mutilation/ Cutting),2004,Child early and forced marriage,"At the Regional Education Centre in Berbera, Somaliland's major port, there was a large gathering in which UNICEF worked in partnership with the Mayor, City Hall staff members, doctors, officers from the Maternal and Child Health (MCH) services, sheikhs, and visitors from other regions. The head of MCH welcomed the six most well known female genital mutilation/ cutting (FGM/C) practitioners to announce their voluntary disarmament of practicing FGM/C at a celebration that renounced the practice.",,"A/HRC/20/16/Add.3 para. 28
For more information [http://www.unicef.org/somalia/SOM_FGM_Advocacy_Paper.pdf]please click here. ",English,Arabic,Prevention ,  Awareness-raising Campaigns,"15,893,222",2.92%,"450,317",25,"627,340","-40,000",6.1,17,47%,0.20%,Sub-Saharan Africa,Low income,79.0,10.2016,275,67,24.4,10.2016,54,13,24.1
29,29,Somalia,"Article 401 (2) of the Penal Code, Legislative Decree No. 5 of 16 December 1962 (Imprisonment or Abduction for Purposes of Marriage)",1962,Child early and forced marriage,"Article 401 (2) of the Penal Code, Legislative Decree No. 5 states that whoever, with violence, threat, or deceit, abducts or detains an unmarried person for the purpose of marriage, shall be punished with imprisonment from one to three years.",,"Federal Government of Somalia, National Review on Beijing+20, page 23 Section 3.4
For more information [http://www.refworld.org/cgi-bin/texis/vtx/rwmain?page=search&docid=4bc5906e2&skip=0&query=civil code&coi=SOM]please click here. ",English,Arabic,Violence against women ,  Legislation,"15,893,222",2.92%,"450,317",25,"627,340","-40,000",6.1,17,47%,0.20%,Sub-Saharan Africa,Low income,79.0,10.2016,275,67,24.4,10.2016,54,13,24.1
30,30,Somalia,"Article 401 (3) of the Penal Code, Legistlative Decree No. 5 of 16 December 1962 (Inability to Consent to Marriage or Carnal Intercourse)",1962,Child early and forced marriage,"Article 401 (3) of the Penal Code, Legislative Decree No. 5 states that whoever abducts or detains a person who is incapable of giving consent for purposes of carnal violence, lust, or marriage shall be subject to punishments such as one to three years in prison.",,"Federal Government of Somalia, National Review on Beijing+20, page 23 Section 3.4
For more information [http://www.refworld.org/cgi-bin/texis/vtx/rwmain?page=search&docid=4bc5906e2&skip=0&query=civil code&coi=SOM]please click here. ",English,Arabic,Violence against women ,  Legislation,"15,893,222",2.92%,"450,317",25,"627,340","-40,000",6.1,17,47%,0.20%,Sub-Saharan Africa,Low income,79.0,10.2016,275,67,24.4,10.2016,54,13,24.1
